Accession	Host	Species	Location	Author	Reference	Pubmed	Gene	Date
EU877512	Leptogium magnussonii	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877513	Leptogium magnussonii	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877514	Leptogium magnussonii	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877515	Leptogium magnussonii	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877516	Leptogium magnussonii	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877517	Leptogium magnussonii	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877518	Leptogium pseudofurfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877519	Leptogium pseudofurfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877520	Leptogium pseudofurfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877521	Leptogium pseudofurfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877522	Leptogium pseudofurfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877523	Leptogium pulvinatum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877524	Leptogium pulvinatum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877525	Leptogium saturninum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877526	Leptogium saturninum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877527	Leptogium saturninum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877528	Leptogium saturninum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877529	Leptogium scharderii	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877530	Leptogium scharderii	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
GQ184605	Leptogium lichenoides	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
GQ184606	Collema flaccidum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
HQ335213	unknown	Nostoc sp.		Zhang	Unpublished		rbcX	130819
HQ335214	unknown	Nostoc sp.		Zhang	Unpublished		rbcX	130819
JX126710.000	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.001	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.002	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.003	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.004	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.005	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.006	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.007	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.008	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.009	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.010	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.011	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.012	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.013	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.014	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.015	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.016	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.017	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.018	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.019	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.020	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.021	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.022	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.023	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.024	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.025	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.026	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.027	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.028	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.029	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.030	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.031	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.032	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.033	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.034	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.035	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.036	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.037	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.038	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.039	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.040	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.041	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.042	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.043	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.044	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.045	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.046	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.047	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.048	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.049	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.050	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.051	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.052	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.053	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.054	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.055	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.056	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.057	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.058	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.059	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.060	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.061	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.062	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.063	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.064	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.065	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.066	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.067	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.068	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.069	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.070	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.071	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.072	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.073	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.074	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.075	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.076	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.077	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.078	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.079	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.080	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.081	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.082	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.083	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.084	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.085	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.086	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.087	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.088	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.089	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.090	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.091	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.092	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.093	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.094	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.095	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.096	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.097	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.098	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.099	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.100	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.101	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.102	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.103	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.104	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.105	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.106	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.107	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.108	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.109	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.110	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.111	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126710.112	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126711.000	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126711.001	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126711.002	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126711.003	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126711.004	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126711.005	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126711.006	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126712.000	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126712.001	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126712.002	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.000	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.001	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.002	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.003	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.004	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.005	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.006	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.007	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.008	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.009	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.010	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.011	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.012	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.013	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.014	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.015	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126713.016	Degelia atlantica	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.000	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.001	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.002	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.003	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.004	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.005	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.006	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.007	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.008	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.009	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.010	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.011	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.012	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.013	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126714.014	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126715.000	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126715.001	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.000	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.001	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.002	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.003	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.004	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.005	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.006	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.007	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.008	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.009	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.010	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.011	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.012	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126716.013	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126717	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX126718	Degelia plumbea	Nostoc sp.		Otalora	Microb. Ecol. 65 (2), 517-530 (2012)	23184157	rbcX	130819
JX876583	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876584	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876585	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876586	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876587	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876588	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876589	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876590	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876591	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876592	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876593	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876594	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
