D10997	 	Chlorella vulgaris	C-27	 			Yoshinaga	"Plant Mol. Biol. 10, 245-250 (1988)"	 
HQ287490	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287489	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287488	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287487	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287474	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287473	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287472	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287471	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287470	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287469	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287468	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287467	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287466	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287465	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287464	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287463	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287462	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
HQ287461	Schizoxylon albescens	Coccomyxa	 	Sweden			Muggia	"FEMS Microbiol. Ecol. 75 (2), 255-272 (2011)"	21133956
XM_005650976	 	Coccomyxa subellipsoidea 	C-169	 			Blanc	"Genome Biol. 13 (5), R39 (2012)"	22630137
XM_005646567	 	Coccomyxa subellipsoidea 	C-169	 			Blanc	"Genome Biol. 13 (5), R39 (2012)"	22630137
JF930328	 	Choricystis chodatii	UTEX 266	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
FJ705216	 	Trebouxia decolorans	SW-39c	 			Werth	"Am. J. Bot. 97 (5), 821-830 (2010)"	21622447
FJ705215	 	Trebouxia decolorans	SW-08c	 			Werth	"Am. J. Bot. 97 (5), 821-830 (2010)"	21622447
FJ705214	 	Trebouxia decolorans	SW-10a	 			Werth	"Am. J. Bot. 97 (5), 821-830 (2010)"	21622447
FJ705213	 	Trebouxia decolorans	SW-38b	 			Werth	"Am. J. Bot. 97 (5), 821-830 (2010)"	21622447
FJ705212	 	Trebouxia decolorans	SW-20c	 			Werth	"Am. J. Bot. 97 (5), 821-830 (2010)"	21622447
FJ705211	 	Trebouxia decolorans	SW-16b	 			Werth	"Am. J. Bot. 97 (5), 821-830 (2010)"	21622447
FJ705210	 	Trebouxia decolorans	SW-20a	 			Werth	"Am. J. Bot. 97 (5), 821-830 (2010)"	21622447
FJ705209	 	Trebouxia decolorans	SW-09a	 			Werth	"Am. J. Bot. 97 (5), 821-830 (2010)"	21622447
FJ705208	 	Trebouxia decolorans	SW-09b	 			Werth	"Am. J. Bot. 97 (5), 821-830 (2010)"	21622447
FJ705207	 	Trebouxia decolorans	SW-08b	 			Werth	"Am. J. Bot. 97 (5), 821-830 (2010)"	21622447
AF189069	 	Trebouxia anticipata	 	 			Sherwood	"Phycologia 39, 139-146 (2000)"	 
JF502559	 	Trebouxia simplex	SAG 2207	 			Del Campo	Unpublished	 
JF502558	 	Trebouxia australis	SAG 2205	 			Del Campo	Unpublished	 
JF502557	 	Trebouxia angustilobata	SAG 2204	 			Del Campo	Unpublished	 
JN573840	Bagliettoa marmorea	Trebouxia sp.	 	 			Thues	"Eur. J. Phycol. 46 (4), 399-415 (2011)"	 
JN573839	Bagliettoa marmorea	Trebouxia sp.	 	 			Thues	"Eur. J. Phycol. 46 (4), 399-415 (2011)"	 
JN573828	accessory alga	Trebouxia sp.	 	 			Thues	"Eur. J. Phycol. 46 (4), 399-415 (2011)"	 
EU123967	 	Trebouxia aggregata	SAG 219-1d	 			Pombert	Unpublished	 
EF589153	 	Trebouxia sp.	CU296e	 			Novis	Unpublished	 
AJ969639	 	Trebouxia crenulata	IB 359	 			Nyati	Unpublished	 
AJ969634	 	Trebouxia pyriformis	IB 355	 			Nyati	Unpublished	 
AJ969645	Xanthoria sp.	Trebouxia 	 	Spain			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969670	Xanthoria ligulata	Trebouxia arboricola	 	New Zealand			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969669	Xanthoria ligulata	Trebouxia arboricola	 	South Africa			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969668	Xanthoria parietina	Trebouxia decolorans	 	Switzerland			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969667	Xanthoria sp.	Trebouxia decolorans	 	Greece			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969666	Xanthoria ectaneoides	Trebouxia arboricola	 	Greece			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969665	Xanthoria sp.	Trebouxia arboricola	 	South Africa			Nyati	Unpublished	 
AJ969664	Xanthoria flammea	Trebouxia 	 	South Africa			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969663	 	Trebouxia jamesii	IB 336	 			Nyati	Unpublished	 
AJ969662	Xanthoria borealis	Trebouxia 	 	Greenland			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969661	 	Trebouxia showmanii	IB 337	 			Nyati	Unpublished	 
AJ969660	Xanthoria parietina	Trebouxia decolorans	 	Spain			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969659	Xanthoria parietina	Trebouxia decolorans	 	Australia			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969658	Xanthoria parietina	Trebouxia 	 	France			Nyati	Unpublished	 
AJ969657	 	Trebouxia decolorans	IB 327	 			Nyati	Unpublished	 
AJ969656	Xanthoria parietina	Trebouxia decolorans	 	France			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969655	Xanthoria candelaria	Trebouxia 	 	Czech Republic			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969654	Xanthoria parietina	Trebouxia decolorans	 	Russia			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969653	Xanthoria parietina	Trebouxia 	 	France			Nyati	Unpublished	 
AJ969652	Xanthoria hasseana	Trebouxia decolorans	 	USA			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969651	Xanthoria parietina	Trebouxia decolorans	 	Spain			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969650	Xanthoria sp.	Trebouxia decolorans	 	Greece			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969649	Xanthoria sp.	Trebouxia decolorans	 	Greece			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969648	Xanthoria parietina	Trebouxia arboricola	 	Iceland			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969647	Xanthoria parietina	Trebouxia arboricola	 	United Kingdom			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969646	Xanthoria parietina	Trebouxia arboricola	 	France			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969644	Xanthoria ligulata	Trebouxia arboricola	 	New Zealand			Nyati	Unpublished	 
AJ969643	 	Trebouxia aggregata	IB 325	 			Nyati	Unpublished	 
AJ969642	Xanthoria sp.	Trebouxia gelatinosa	 	USA			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969641	 	Trebouxia gelatinosa	IB 347	 			Nyati	Unpublished	 
AJ969640	Teloschistes chrysopthalmus	Trebouxia gelatinosa	 	Spain			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969638	 	Trebouxia anticipata	IB 340	 			Nyati	Unpublished	 
AJ969637	 	Trebouxia flava	IB 346	 			Nyati	Unpublished	 
AJ969636	Xanthoria ulophyllodes	Trebouxia potteri	 	USA			Nyati	"Submitted (09-MAY-2005) Nyati S., Institute of Plant Biology, University of Zurich, Zollikerstrasse 107, Zurich 8008, Switzerland"	 
AJ969635	 	Trebouxia potteri	IB 332	 			Nyati	Unpublished	 
AJ969633	 	Asterochloris glomerata	IB 349	 			Nyati	Unpublished	 
AJ969632	 	Asterochloris italiana	IB 358	 			Nyati	Unpublished	 
AJ969631	 	Asterochloris erici	IB 342	 			Nyati	Unpublished	 
AJ969630	 	Asterochloris magna	IB 354	 			Nyati	Unpublished	 
AJ969629	 	Asterochloris excentrica	IB 345	 			Nyati	Unpublished	 
JX474322	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474321	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474320	Lasallia pustulata	Trebouxia sp.	 	Norway			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474319	Lasallia pustulata	Trebouxia sp.	 	Norway			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474318	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474317	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474316	Lasallia pustulata	Trebouxia sp.	 	Slovakia			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474315	Lasallia pustulata	Trebouxia sp.	 	Slovakia			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474314	Lasallia pustulata	Trebouxia sp.	 	Slovakia			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474313	Lasallia pustulata	Trebouxia sp.	 	Germany			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474312	Lasallia pustulata	Trebouxia sp.	 	Hungary			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474311	Lasallia pustulata	Trebouxia sp.	 	Hungary			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474310	Lasallia pustulata	Trebouxia sp.	 	Hungary			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474309	Lasallia pustulata	Trebouxia sp.	 	Hungary			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474308	Lasallia pustulata	Trebouxia sp.	 	Serbia			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474307	Lasallia pustulata	Trebouxia sp.	 	Portugal			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474306	Lasallia pustulata	Trebouxia sp.	 	Estonia			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474305	Lasallia pustulata	Trebouxia sp.	 	Austria			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474304	Lasallia pustulata	Trebouxia sp.	 	Germany			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474303	Lasallia pustulata	Trebouxia sp.	 	Germany			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474302	Lasallia pustulata	Trebouxia sp.	 	Germany			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474301	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474300	Lasallia pustulata	Trebouxia sp.	 	Norway			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474299	Lasallia pustulata	Trebouxia sp.	 	Norway			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474298	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474297	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474296	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474295	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474294	Lasallia pustulata	Trebouxia sp.	 	Germany			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474293	Lasallia pustulata	Trebouxia sp.	 	Germany			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474292	Lasallia pustulata	Trebouxia sp.	 	Germany			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474291	Lasallia pustulata	Trebouxia sp.	 	Spain			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474290	Lasallia pustulata	Trebouxia sp.	 	Spain			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474289	Lasallia pustulata	Trebouxia sp.	 	Spain			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474288	Lasallia pustulata	Trebouxia sp.	 	Norway			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474287	Lasallia pustulata	Trebouxia sp.	 	Norway			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474286	Lasallia pustulata	Trebouxia sp.	 	Norway			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474285	Lasallia pustulata	Trebouxia sp.	 	Norway			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474284	Lasallia pustulata	Trebouxia sp.	 	Norway			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474283	Lasallia pustulata	Trebouxia sp.	 	Norway			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474282	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474281	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474280	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474279	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
JX474278	Lasallia pustulata	Trebouxia sp.	 	Poland			Sadowska-Des	"Fungal Ecol 6 (2), 141-151 (2013)"	 
HM046975	Tephromela atra	Trebouxia 	 	Italy			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
HM046974	Tephromela atra	Trebouxia 	 	Italy			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
HM046973	Tephromela atra	Trebouxia 	 	Italy			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
HM046972	Tephromela atra	Trebouxia 	 	Italy			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
HM046971	Tephromela atra	Trebouxia 	 	Italy			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
HM046970	Tephromela atra	Trebouxia 	 	Greece			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
HM046969	Tephromela atra	Trebouxia 	 	Greece			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
HM046968	Tephromela atra	Trebouxia 	 	Italy			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
HM046967	Tephromela atra	Trebouxia 	 	Italy			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
HM046964	Tephromela atra	Trebouxia 	 	Italy			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
HM046966	Tephromela atra	Trebouxia simplex	 	Austria			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
HM046965	Tephromela atra	Trebouxia simplex	 	Austria			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
HM046963	Tephromela atra	Trebouxia simplex	 	Italy			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
HM046962	Tephromela atra	Trebouxia simplex	 	Italy			Muggia	"Symbiosis 51 (2), 149-160 (2011)"	 
AM158969	 	Trebouxia 	 	Switzerland			Nyati	Unpublished	 
AM158968	 	Trebouxia 	 	USA			Nyati	Unpublished	 
AM158967	isolate Xanthoria	Trebouxia sp.	 	France			Nyati	Unpublished	 
AM158966	isolate Xanthoria	Trebouxia decolorans	 	France			Nyati	Unpublished	 
AM158965	isolate Xanthoria	Trebouxia sp.	 	Spain			Nyati	Unpublished	 
AM158964	isolate Xanthoria	Trebouxia decolorans	 	Switzerland			Nyati	Unpublished	 
AM158963	isolate Xanthoria	Trebouxia sp.	 	Switzerland			Nyati	Unpublished	 
AM158962	isolate Xanthoria	Trebouxia sp.	 	Switzerland			Nyati	Unpublished	 
AM158961	isolate Xanthoria	Trebouxia sp.	 	Australia			Nyati	Unpublished	 
AM158960	 	Trebouxia arboricola	SAG 219-Ia	 			Nyati	Unpublished	 
AM159504	Xanthoria parietina	Trebouxia decolorans	 	Switzerland			Nyati	Unpublished	 
JF502541	 	Asterochloris irregularis	SAG 33.85	 			Del Campo	Unpublished	 
JF502538	 	Asterochloris phycobiontica	SAG 26.81	 			Del Campo	Unpublished	 
JN573844	Cladonia grayi	Asterochloris sp.	 	 			Thues	"Eur. J. Phycol. 46 (4), 399-415 (2011)"	 
JN573807	accessory alga	Asterochloris sp.	 	 			Thues	"Eur. J. Phycol. 46 (4), 399-415 (2011)"	 
JN573806	Bagliettoa cazzae	Asterochloris sp.	 	 			Thues	"Eur. J. Phycol. 46 (4), 399-415 (2011)"	 
AJ969633	 	Asterochloris glomerata	IB 349	 			Nyati	Unpublished	 
AJ969632	 	Asterochloris italiana	IB 358	 			Nyati	Unpublished	 
AJ969631	 	Asterochloris erici	IB 342	 			Nyati	Unpublished	 
AJ969630	 	Asterochloris magna	IB 354	 			Nyati	Unpublished	 
AJ969629	 	Asterochloris excentrica	IB 345	 			Nyati	Unpublished	 
FJ217378	Anthopleura elegantissima	Elliptochloris marina	ZC-114	WA	"Anacortes, Shannon Point Beach"		Letsch	Unpublished	 
